number,priority,module,title,state,root_cause_group,required_action,evidence
2340,P1,bittorrent-dht,Aria2 bottlenecks/freezes when rapidly adding multiple magnet torrents via RPC,documented-scaling-limit/no-code,rpc-magnet-queue-saturation,no-code,"The 2026 report rapidly adds many magnet torrents through JSON-RPC and freezes after around ten active torrents; the only comment identifies queuing. Current architecture creates metadata downloads, DHT get-peers commands, tracker work, and peer connection commands on the same engine loop. The evidence supports queue saturation under workload, not a concrete source defect suitable for a small patch."
703,P1,tls-cert,[Windows] aria2c is not downloading torrents,not-reproducible/no-code,bt-swarm-or-environment-specific,no-code,"Windows torrent inactivity report from aria2 1.24.0 has no torrent, logs, or comments. The issue says only some torrents fail while HTTP/FTP continue working and other clients can download them, which is insufficient to distinguish swarm availability, tracker behavior, firewall/NAT, or client policy. No current source defect can be confirmed."
831,P1,bittorrent-dht,[Windows]Program doesn't download from torrents and magnet links,environment-or-build,windows-bt-dht-network,environment-or-build,Windows torrent/magnet issue likely DHT/firewall/build feature; verify current build features and network.
1157,P1,tls-cert,segfault on start,not-reproducible,crash-with-insufficient-repro,no-code,"The reported Windows startup crash occurred in a self-built 2018 cross-compile at OptionHandlerImpl.cc while constructing proxy option handlers. The retained issue has no config log contents available locally, no reproducer beyond a build command, and no later confirmation. Current option parser and API tests instantiate OptionParser successfully during local builds. No current source defect can be isolated."
1182,P1,filesystem-session,Download Error when destionation directory needs admin permission,environment-or-permission,filesystem-permission-or-caller-path,environment-or-permission,"Issue is primarily permissions, read-only filesystem, package manager, or caller script path; no core fix unless reproduction shows false success."
1345,P1,dns-ipv6,Aria2c always save download file to root,config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
1430,P1,tls-cert,Should be all #ifdef ENABLE_SSL,fixed-verified,feature-macro-build-matrix,fixed-verified,"Normalized feature guards reported in the issue: src/SocketCore.h now uses #ifdef ENABLE_SSL and src/util.cc uses #elif defined(HAVE_SLEEP), matching generated config-header semantics and CMake-style boolean defines. Verification: make -C src SimpleRandomizer.lo SocketCore.lo util.lo libaria2.la && make -C tests SocketCoreTest.o UtilTest2.o aria2c => exit 0."
1445,P1,tls-cert,macOS file type changed and attach debugger failed by adding --enable-libaria2 option,documented-behavior,libtool-wrapper-debugging,no-code,"This is libtool wrapper behavior, not an aria2 executable regression. With --enable-libaria2, src/Makefile.am builds libaria2.la as an installed libtool library and links aria2c against it, so an uninstalled build may expose src/aria2c as a wrapper script while the debugger target is the real binary under .libs/aria2c or the installed executable. No code change is required."
1502,P1,bittorrent-dht,Error when build with --disable-bittorrent and --disable-metalink,fixed-verified,feature-macro-build-matrix,fixed-verified,Moved internal BitTorrent MSE-only crypto sources in src/Makefile.am under ENABLE_BITTORRENT so --disable-bittorrent --disable-metalink builds no longer compile InternalDHKeyExchange or InternalARC4Encryptor unnecessarily. Verification: make -C src SimpleRandomizer.lo SocketCore.lo util.lo libaria2.la && make -C tests SocketCoreTest.o UtilTest2.o aria2c => exit 0.
1506,P1,bittorrent-dht,Memory continues to increase when running,not-reproducible/no-code,rpc-metadata-churn-memory-growth,no-code,"The report submits torrent metadata-only RPC tasks in an infinite loop with max-concurrent-downloads=1024 and claims memory reaches 2 GiB after one day, but provides no heap profile, logs, current version, or reproducible script. Current RequestGroup and result retention behavior depends on keep-unfinished-download-result and RPC result lifecycle. No leak can be isolated safely from the retained evidence."
1556,P1,bittorrent-dht,Assertion failed in Piece.cc:353,fixed-verified,piece-assertion-boundary,fixed-verified,"Fixed write cache update recovery for a Piece that still owns cached data after its WrDiskCache entry is missing or stale. WrDiskCache::update() now reindexes stale entries and restores genuinely missing entries instead of returning false to Piece::updateWrCache(), preserving cached bytes and avoiding process abort. Regression coverage added in tests/PieceTest.cc::testUpdateWrCacheRestoresMissingCacheEntry. Red verification: old code aborted at Piece.cc assertion. Green verification: make -C src WrDiskCache.o libaria2.la && make -C tests PieceTest.o aria2c && cd tests && ./aria2c PieceTest::testUpdateWrCacheRestoresMissingCacheEntry => OK (1001)."
1588,P1,rpc-websocket,Aria2 JSON-RPC parse Options incorrect.,fixed-verified,rpc-option-json-type-coercion,fixed-verified,"Fixed RPC option parsing so scalar JSON String, Bool, and Integer values are converted through the existing option handlers instead of silently ignoring non-string scalar values. Regression coverage added in tests/RpcMethodTest.cc for JSON Bool pause option through aria2.addUri. Verification: make -C src libaria2.la && make -C tests aria2c && cd tests && ./aria2c => OK (990)."
1699,P1,http-range-retry,A possible nullptr dereference problem (with patch),not-reproducible,urilist-null-file-guard,no-code,"No reachable null dereference found: UriListParser constructor always initializes fp_ with GZipFile or BufferedFile, fp_ is private, and no public method resets it; hasNext null path cannot be reached through current API. Classified as static-analysis-only theoretical issue; no production change or regression tests is warranted."
1706,P1,tls-cert,Unable to save Last-Modified timestamp in some cases,config-or-documented-behavior,remote-time-save-failure,no-further-action,"No code defect confirmed. The reported command does not pass -R or --remote-time=true, and src/OptionHandlerFactory.cc defines remote-time with default false. For HTTP, src/HttpResponseCommand.cc only records Last-Modified when PREF_REMOTE_TIME is true, and src/RequestGroupMan.cc applies the recorded time on successful completion. Current behavior matches documented option semantics."
1723,P1,tls-cert,Segmentation fault on certificate with no read permission,fixed-verified,certificate-file-error-handling,fixed-verified,"Fixed certificate-file crash handling at the shared IOFile transfer path: transfer on an unopened BufferedFile now returns 0 instead of dereferencing a null FILE pointer, so unreadable or missing PKCS12/PFX certificate files flow into existing TLS credential-load failure handling. Regression coverage added in tests/BufferedFileTest.cc. Verification: old behavior crashed while running ./aria2c BufferedFileTest::testTransferWithClosedFile; after the fix, make -C src IOFile.lo libaria2.la && make -C tests BufferedFileTest.o aria2c && cd tests && ./aria2c BufferedFileTest::testTransferWithClosedFile => OK (999)."
1727,P1,bittorrent-dht,Metalink checksum verification doesn't happen for bittorrent URLs,fixed-verified,metalink-bt-checksum-flow,fixed-verified,"Fixed Metalink BitTorrent checksum flow: whole-file digest now survives BtDependency torrent context replacement, and successful BT piece-hash verification schedules the pending whole-file checksum before continuing the BT seed/file-allocation path. Regression coverage added in tests/BtDependencyTest.cc and tests/BtPostDownloadHandlerTest.cc. Verification: make -C src ChecksumCheckIntegrityEntry.o BtFileAllocationEntry.o BtCheckIntegrityEntry.o libaria2.la and make -C tests BtPostDownloadHandlerTest.o aria2c pass. Full ./aria2c runner is still blocked only by sandbox socket bind errors; #1727 regression no longer appears in the failure list."
1762,P1,tls-cert,"Download failed with error ""The client and server cannot communicate, because they do not possess a common algorithm."".",platform-or-config,wintls-schannel-policy,platform-or-config,"Schannel revocation, cipher, and protocol policy depend on OS capabilities; likely needs backend documentation or optional policy knobs, not a generic aria2 core fix."
1763,P1,filesystem-session,save-session file name is changed by aria,environment-or-permission,windows-session-path-normalization,environment-or-permission,"No core serialization defect confirmed from the available report. SessionSerializer writes save-session to <filename>__temp, closes it, then File::renameTo() replaces the configured file; on Windows File::renameTo() already uses MoveFileExW with MOVEFILE_REPLACE_EXISTING and MOVEFILE_COPY_ALLOWED. A leftover aria2c_session.sav__temp means the final OS rename failed, and the report explicitly says it happens under a Windows service wrapper, which points to service account permissions, file locking, or process shutdown timing. No source change is justified without a reproducible aria2-only rename failure."
1839,P1,filesystem-session,Retry when connections got 503,fixed-verified,per-segment-503-retry,fixed-verified,"Fixed HTTP 503 segment retry accounting so a request delayed by retry-wait can re-enter the file request pool without consuming the permanent URI try budget, preserving parallelism after transient service-unavailable responses. Regression coverage added in tests/FileEntryTest.cc. Verification: make -C src Request.lo AbstractCommand.lo FileEntry.lo libaria2.la && make -C tests FileEntryTest.o aria2c && cd tests && ./aria2c FileEntryTest::testGetRequest_resetsTryCountAfterWake => OK (998)."
1962,P1,dns-ipv6,aria2 exit unexpectedly,not-reproducible,crash-with-insufficient-repro,no-code,"macOS AppleTLS daemon exit report stops in the middle of TLS debug logging for a GitHub download and provides no crash line, signal, or stack trace. Related AppleTLS TLS 1.3 backend limitations are tracked separately in #2277. The retained evidence is insufficient to distinguish a crash from daemon/session exit or backend handshake failure, so no targeted fix is justified."
1971,P1,dns-ipv6,Strange Range request for the second segment of mp4 files,fixed-verified,http-content-range-tolerance,fixed-verified,"Fixed HTTP Content-Range validation to accept explicit ranged responses whose start byte matches the requested segment, whose response end byte covers the requested end byte, and whose entity length is not smaller than the known file length. This preserves rejection for shifted starts, missing entity length, shorter entity length, and open-ended Range responses with mismatched totals. Regression coverage added in tests/HttpRequestTest.cc. Verification: make -C src libaria2.la && make -C tests HttpRequestTest.o aria2c && cd tests && ./aria2c => OK (994)."
2001,P1,dns-ipv6,"Terminal report ""Emergency shutdown sequence commencing""",usage-or-config,crash-with-insufficient-repro,no-code,"The log shows aria2 started RPC successfully, serialized an empty session, then performed normal emergency shutdown with no active downloads. The issue uses daemon=true inside a config while invoking aria2c --conf-path; retained evidence does not show a crash, assertion, or source fault. This is process/config behavior, not a code defect."
2009,P1,dns-ipv6,only could load one `input-file` parameter and couldn't load default config mentioned in another config file,config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
2115,P1,tls-cert,Bug causing OCSP/CRL to fail with invalid error 80092013 : The revocation function was unable to check revocation because the revocation server was offline,platform-or-config,wintls-schannel-policy,platform-or-config,"Schannel revocation, cipher, and protocol policy depend on OS capabilities; likely needs backend documentation or optional policy knobs, not a generic aria2 core fix."
2116,P1,tls-cert,bad performance on network file systems,fixed-verified,disk-cache-contiguous-write-coalescing,fixed-verified,"Confirmed source defect for network file systems: disk-cache collected contiguous DataCell entries but AbstractSingleDiskAdaptor::writeCache flushed each cell as its own write, commonly preserving 16 KiB writes even after caching. The fix coalesces contiguous cached cells into one write at flush time while preserving gaps and offsets. Regression coverage added in tests/DirectDiskAdaptorTest.cc::testWriteCache_mergesContiguousCells. Verification: make -C src AbstractSingleDiskAdaptor.lo libaria2.la && make -C tests DirectDiskAdaptorTest.o aria2c => OK; cd tests && ./aria2c outside the default sandbox => OK (1009)."
2119,P1,dns-ipv6,Acceptance of invalid IPv6 address,fixed-verified,uri-ipv6-literal-validation,no-further-action,"Fixed by validating bracketed IPv6 literals in URI parsing before the request reaches DNS or connection setup. Evidence: src/uri_split.c, tests/UriSplitTest.cc, make -j2, make -C tests aria2c, and ./aria2c from tests directory passed OK (986)."
2151,P1,dns-ipv6,File download error,usage-or-config/no-code,server-requires-referer,no-code,"The server returned HTTP 403 for a Bilibili CDN media URL. The issue discussion and reproduction context indicate the endpoint requires request headers such as Referer from bilibili.com; aria2 is correctly surfacing the unsuccessful HTTP status. This is a site access/header configuration issue, not an aria2 protocol defect."
2285,P1,core-other,"When downloading, change max-concurrent-downloads sucess but not work.",fixed-verified,runtime-concurrency-downscale,fixed-verified,"Fixed runtime max-concurrent-downloads downscale by adding RequestGroupMan::reduceActiveDownloadsToLimit() and calling it from changeGlobalOption(). Excess active groups are stopped through the existing restart path, returned to waiting, and not left user-paused. Regression coverage added in tests/RequestGroupManTest.cc. Verification: make -C src RequestGroupMan.lo libaria2.la && make -C tests RequestGroupManTest.o aria2c passed. Red check failed before implementation with missing reduceActiveDownloadsToLimit(). cd tests && ./aria2c RequestGroupManTest::testReduceMaxConcurrentDownloads runs the full suite in this harness; the new tests no longer fails, remaining failures are sandbox socket bind blockers."
1118,P2,http-range-retry,Check the header “Content-Disposition” to determine the filename to store,fixed-verified,content-disposition-compat,fixed-verified,"Fixed Content-Disposition parsing to accept a terminal empty parameter only when it immediately follows a completed filename or filename* value, preserving rejection for historical invalid whitespace-before-semicolon cases. Regression coverage added in tests/UtilTest1.cc for quoted and token filenames with trailing semicolons. Verification: make -C src util.lo libaria2.la and make -C tests UtilTest1.o aria2c pass; full tests runner is blocked only by sandbox socket bind failures and the Content-Disposition failures are gone."
774,P2,dns-ipv6,name resolution failed!  HELP!!!,fixed-verified,async-dns-family-completion,no-further-action,"Fixed for the retained async DNS regression reported in recent comments: an AAAA success is no longer suppressed by a failed or pending A lookup. Evidence: src/AsyncNameResolverMan.cc, tests/AsyncNameResolverManTest.cc, make -C tests aria2c -j2, and ./aria2c from tests directory passed OK (986)."
1987,P2,filesystem-session,Was download ARM Windows 10 UUP and gets exception error,environment-or-permission,filesystem-permission-or-caller-path,environment-or-permission,"Issue is primarily permissions, read-only filesystem, package manager, or caller script path; no core fix unless reproduction shows false success."
2059,P2,rpc-websocket,有任务下载时，局域网rpc会断连,needs-architecture/no-code,rpc-starvation-under-download-load,no-code,"LAN RPC stalls during active downloads while localhost RPC still responds are consistent with main-loop starvation from download, disk, and network commands. Later comments in the issue discuss experimental dedicated RPC queues and logging slow commands, but note DownloadEngine is a singleton and not trivially made multithreaded. This requires an architecture plan and runtime profiling, not a small unverified code change."
1131,P2,bittorrent-dht,BitTorrent errorCode=26 Detected directory traversal directive,fixed-verified,torrent-path-traversal-policy,fixed-verified,"Fixed in src/bittorrent_helper.cc by skipping malformed zero-length torrent directory entries whose final path component is empty while preserving directory traversal rejection for real files. Added BittorrentHelperTest::testLoadFromMemory_skipsEmptyDirectoryEntry in tests/BittorrentHelperTest.cc. Red verification failed with Detected directory traversal directive in content/bad/. Green verification rebuilt src/bittorrent_helper.lo, libaria2.la, BittorrentHelperTest.o, and tests/aria2c; the targeted regression no longer appears in failures, with remaining failures limited to sandbox socket bind restrictions."
1535,P2,filesystem-session,aria2c creates a ./dev directory and a ./dev/null file when attempting to run a speed tests,fixed-verified,file-allocation-path-semantics,fixed-verified,"Fixed output path joining so absolute user-supplied output paths are preserved instead of being prefixed by --dir. This fixes the reported macOS/Linux speed-tests sink case where -o /dev/null became ./dev/null and created ./dev/null under the current directory. Regression coverage added in tests/UtilTest2.cc for POSIX absolute paths and Windows drive paths. Verification: make -C src util.lo libaria2.la and make -C tests UtilTest2.o aria2c pass; after a forced relink, cd tests && ./aria2c UtilTest2::testApplyDir is blocked only by existing sandbox socket-bind failures and UtilTest2::testApplyDir is no longer in the failure list."
2184,P2,tls-cert,关于开启https无法访问的问题,environment-or-config,reverse-proxy-certificate-config,environment-or-config,"Logs show reverse proxy connection refused or config path/syntax issue, not aria2 core TLS behavior; no code change without native aria2 reproduction."
2272,P2,tls-cert,Inconsistent Header Order for User-Agent Between Config File and --header Flag Causes Issues with Strict Servers,fixed-verified,http-header-order-stability,fixed-verified,"Fixed HTTP request header ordering so configured User-Agent and user-supplied User-Agent headers both occupy the same stable builtin position after Accept and Host, while preserving user override value and avoiding duplicate appended User-Agent. Regression coverage added in tests/HttpRequestTest.cc::testUserAgentHeaderOrder. Verification: make -C src HttpRequest.lo libaria2.la, make -C tests HttpRequestTest.o aria2c, and cd tests && ./aria2c HttpRequestTest::testUserAgentHeaderOrder; the full runner remains blocked only by sandbox socket bind failures, and HttpRequestTest no longer fails."
1888,P2,tls-cert,Exception: [AbstractOptionHandler.cc:69] errorCode=28 on MacOS command-line,config-or-input-validation,option-error-message,config-or-input-validation,Option parse error likely correct but diagnostics may be improved; source path: AbstractOptionHandler.cc.
2050,P2,http-range-retry,msys2 mingw64 configure failed,fixed-verified,autoconf-multiline-macro-compat,fixed-verified,Flattened deps/wslay/configure.ac AC_CHECK_HEADERS and AC_CHECK_FUNCS argument lists to avoid MSYS2/autoconf shell generation failures around as_ac_Header/as_ac_Func loops. autoreconf -fi in deps/wslay completed successfully; regenerated configure contains direct ac_fn_c_check_header_compile/ac_fn_c_check_func calls for each header/function. Build verification: make -C src SimpleRandomizer.lo SocketCore.lo util.lo libaria2.la && make -C tests SocketCoreTest.o UtilTest2.o aria2c => exit 0.
2251,P2,build-tests,make check fail,environment-or-build/no-code,test-suite-path-sensitive-output,no-code,"macOS 10.13.6 make check link failure is an unresolved CppUnit linkage/ABI problem: undefined CppUnit::SourceLine, TestRunner, Message, Asserter, TestCase, and other CppUnit symbols while linking tests/aria2c. Current local tests/aria2c links successfully with the available CppUnit. No aria2 source defect is identified; the evidence points to the reporter build environment or CppUnit library mismatch."
2049,P2,dns-ipv6,Can not download LAN site file,environment-or-network,rpc-or-lan-networking,environment-or-network,LAN/RPC connectivity reports are mostly firewall/proxy/listen-host/network environment unless source evidence says otherwise.
2263,P2,filesystem-session,aria2 1.37 make check fail aria2c tests - failure and reason not obvious,fixed-verified,test-suite-path-sensitive-output,fixed-verified,Fixed tests/ExceptionTest.cc to verify exception stack trace content and causal ordering without depending on absolute debug-source paths or exact source line numbers. This addresses the Cygwin package failure where stackTrace() included /usr/src/debug/.../tests/ExceptionTest.cc. Verification rebuilt ExceptionTest.o and tests/aria2c; ExceptionTest::testStackTrace no longer appears in the failure list. Remaining failures are socket bind environment restrictions.
852,P3,bittorrent-dht,aria2c stalls until I restart the seeder process.,environment-or-tracker/no-code,tracker-backlog-and-routing,no-code,"The single-seeder stall investigation was traced in comments to tracker visibility and network routing: tracker callback/listener backlog was improved by upstream commit 6289aafaf850e854e5b03710726db984df7cf82b, and later logs showed tracker overload/EOF plus multi-NIC gateway selection issues. That backlog commit is present in this fork; remaining evidence points to tracker capacity or routing configuration, not a new isolated aria2 defect."
801,P3,bittorrent-dht,Cannot start aria2 in RPC mode,environment-or-network,rpc-or-lan-networking,environment-or-network,LAN/RPC connectivity reports are mostly firewall/proxy/listen-host/network environment unless source evidence says otherwise.
139,P3,bittorrent-dht,banned peers,documented-behavior/no-code,peer-disconnect-log-wording,no-code,"Maintainer clarified that the historical ""Peer ... banned"" log means the peer disconnected or was dropped after protocol inactivity, EOF, or bad behavior; it is not an IP blocklist policy. The separate 1.18.0 assertion report had mismatched source line numbers and no current reproducible stack. Current bad-peer entries are temporary with randomized 120-720 second expiry in DefaultPeerStorage. No code change is warranted."
650,P3,bittorrent-dht,aria2c 1.22.0 Segmentation fault,already-fixed,crash-with-insufficient-repro,no-code,"The stack points to DHT get_peers reply compact peer generation using a corrupted DHTNode IP string. Current DHTNode stores ipaddr_ by value and getIPAddress() returns a stable const std::string&, while bittorrent::packcompact() returns 0 for invalid numeric addresses. Current DHTGetPeersReplyMessage skips entries whose compact length does not match the requested family. The issue has no reproducible torrent or current crash data, and the reporter said the error disappeared after changing DHT settings. No new code change is justified from retained evidence."
1407,P3,tls-cert,min-tls-version=TLSv1.3 fails on Windows,fixed-partially-verified,tls13-backend-capability,verify-on-windows,Root cause confirmed in src/WinTLSContext.cc: TLS_PROTO_TLS13 previously reached assert(0)/abort in WinTLS setup because only TLS 1.1 and 1.2 were handled. WinTLS now accepts TLS 1.3 when the Windows SDK exposes SCH_CREDENTIALS/TLS_PARAMETERS and reports an explicit unsupported-backend error on older SDKs instead of aborting. src/WinTLSSession.cc now maps negotiated protocol 0x304 to TLS_PROTO_TLS13 and no longer aborts on unknown protocol values. Regression coverage added in tests/SocketCoreTest.cc under HAVE_WINTLS. Local verification: make -C tests SocketCoreTest.o aria2c => exit 0. Direct WinTLS object compilation is blocked on this macOS host because windows.h is unavailable; Windows cross-build verification remains required.
1016,P3,filesystem-session,--file-allocation=falloc failed at High Sierra,environment-or-platform/no-code,file-allocation-path-semantics,no-code,"The report is specific to macOS High Sierra/APFS in 2017. Current macOS falloc code already uses fcntl(F_PREALLOCATE) followed by ftruncate, and later comments report fast falloc behavior on macOS Catalina. This host cannot reproduce High Sierra/APFS allocator behavior; no current allocator defect is confirmed."
1137,P3,tls-cert,output path is always prefixed with the cwd,config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
1243,P3,bittorrent-dht,version 1.34 won't close,environment-or-platform/no-code,windows-kb4338818-shutdown-hang,no-code,"The Windows 7 shutdown hang was isolated by the reporter to Windows update KB4338818, and uninstalling that update made aria2 close normally. The same issue affected multiple builds and could not be killed even by Task Manager, pointing to a Windows networking/kernel state rather than aria2 shutdown lifecycle logic."
1309,P3,dns-ipv6,"errorCode=1 Failed to resolve the hostname 104.17.109.77, cause: System error",environment-or-config,numeric-host-ipv6-config,environment-or-config,Numeric host resolution failed in a Docker/webui build and workaround was disable-ipv6=true; verify current SocketCore numeric host path but likely environment/build config.
1655,P3,bittorrent-dht,Torrent end status Err,usage-or-config/no-code,bt-seeding-status-behavior,no-code,"RPC torrent status after 100% download remains active while seeding until seed-ratio or seed-time conditions complete. Comments resolved the question with --seed-time=0. This matches current BitTorrent lifecycle semantics and documented options, so it is usage/config behavior rather than a bug."
1873,P3,core-other,Can't deal with Chinese file name?,config-or-documented-behavior,content-disposition-utf8-option,no-code,"The issue has no concrete failing header or URL, and the comments confirm --content-disposition-default-utf8=true resolves the reported Chinese filename behavior when passed with the URI. Existing tests already cover raw UTF-8 filename handling with defaultUTF8=true, so no core change is justified without a reproducible header that still fails."
688,P3,bittorrent-dht,failed to handle duplicate bt source when concurrent download with metalink,unsupported-behavior,duplicate-bt-source-handling,no-code,"No code fix applied. Source review confirms aria2 models each active BitTorrent download by unique infoHash: RequestGroup.cc rejects a second active BT RequestGroup for the same infoHash through BtRegistry, which matches the reported errorCode=12. Metalink grouping with metaurl@name can map multiple entries into one dependant RequestGroup, but BtDependency.cc resolves torrent file entries by originalName and cannot fan out one torrent file to multiple output names. The maintainer comment also identifies the requested behavior as same content under different names using the same torrent, which aria2 does not support. A correct implementation would require a new post-download copy/link fan-out model, not a duplicate-source bug fix."
692,P3,bittorrent-dht,Unable to acess Aria2 frontend from LAN,environment-or-network,rpc-or-lan-networking,environment-or-network,LAN/RPC connectivity reports are mostly firewall/proxy/listen-host/network environment unless source evidence says otherwise.
759,P3,filesystem-session,"Errorcode 18 failed to make directory, permission denied",environment-or-permission,filesystem-permission-or-caller-path,environment-or-permission,"Issue is primarily permissions, read-only filesystem, package manager, or caller script path; no core fix unless reproduction shows false success."
1471,P3,http-range-retry,"""Loop range missing/overflow"" error due to ridiculously small data type",fixed-verified,parameterized-uri-range-width,fixed-verified,"Fixed parameterized URI loop parsing to accept decimal and alphabetic range values up to INT32_MAX, keep invalid oversized values on the Loop range overflow path, and guard generated loop size before allocation; regression coverage added in tests/ParamedStringTest.cc. Verification: make -C tests aria2c && cd tests && ./aria2c => OK (989)."
1400,P3,tls-cert,Aria2c redirects https to http,site-or-usage,remote-site-or-option-usage,site-or-usage,"Report is site-specific, auth/cookie/header usage, or TLS backend selection; reproduce current URL before any code change."
1574,P3,core-other,daemon stoped with no error,needs-reproduction-closed,crash-with-insufficient-repro,no-code,"The report only says the daemon sometimes stopped, and follow-up logs show ordinary per-download errors such as invalid BitTorrent metainfo and HTTP 503. No process crash, stack trace, reproducer, or current source location is provided. No evidence-backed code fix is possible."
849,P3,tls-cert,Errorcode=22 only with rpc ,site-or-usage,remote-site-or-option-usage,site-or-usage,"Report is site-specific, auth/cookie/header usage, or TLS backend selection; reproduce current URL before any code change."
926,P3,http-range-retry,Content-Range: bytes x-y/* handling,fixed-verified,http-content-range-tolerance,fixed-verified,"Fixed HTTP Content-Range validation to accept explicit ranged responses whose start byte matches the requested segment, whose response end byte covers the requested end byte, and whose entity length is not smaller than the known file length. This preserves rejection for shifted starts, missing entity length, shorter entity length, and open-ended Range responses with mismatched totals. Regression coverage added in tests/HttpRequestTest.cc. Verification: make -C src libaria2.la && make -C tests HttpRequestTest.o aria2c && cd tests && ./aria2c => OK (994)."
1461,P3,http-range-retry,HTTP Response Header with empty value causes error,fixed-verified,http-empty-header-value,no-further-action,"Fixed by ignoring malformed empty response header fields without a colon while preserving existing validation for whitespace and colon-starting field names. Evidence: src/HttpHeaderProcessor.cc, tests/HttpHeaderProcessorTest.cc, make -C src libaria2.la, make -C tests aria2c, and ./aria2c from tests directory passed OK (987)."
1927,P3,bittorrent-dht,Incorrect info hash calculation on hybrid torrents loaded from URL,not-reproducible,hybrid-torrent-infohash,no-code,"No code fix applied. Source review shows aria2.addTorrent and torrent files loaded after aria2.addUri both converge on createRequestGroupForBitTorrent and bittorrent::processRootDictionary, so there is no separate URL-loaded infohash calculation path in current source. processRootDictionary computes the v1 infohash from bencode2::encode(infoDict), and Dict uses std::map ordering, giving canonical key ordering for hybrid torrents that still contain the v1 pieces field. The maintainer could not reproduce the report, and the reporter later suggested a local or Windows build-specific problem. No sample torrent is available in the retained issue data to reproduce a wrong hash."
985,P3,core-other,memory usage is too high in Windows10,usage-or-config/no-code,windows-large-file-memory-and-allocation,no-code,"Windows 10 memory growth during a 40 GiB ISO download has no logs, command line, or reproduction. The only follow-up asks the reporter to try prealloc and shorter save-session intervals, and no confirmation returned. Current source has bounded disk-cache semantics by PREF_DISK_CACHE; without memory profiles this remains configuration/environment evidence, not a confirmed leak."
1361,P3,rpc-websocket,auto-file-renaming doesn't work if force-save is true,config-or-documented-behavior,path-session-option-semantics,config-or-documented-behavior,Behavior matches existing option semantics or needs docs unless current code violates documented behavior; verify with focused tests before changing.
1883,P3,filesystem-session,Error: Permission denied @ rb_sysopen - /private/tmp/github_api_headers20220214-522-1wj8841,environment-or-permission,filesystem-permission-or-caller-path,environment-or-permission,"Issue is primarily permissions, read-only filesystem, package manager, or caller script path; no core fix unless reproduction shows false success."
2008,P3,http-range-retry,errorCode=22 status=403 Cannot download,site-or-usage,remote-site-or-option-usage,site-or-usage,"Report is site-specific, auth/cookie/header usage, or TLS backend selection; reproduce current URL before any code change."
1303,P3,tls-cert,Could not get file status: Permission denied,environment-or-permission,filesystem-permission-or-caller-path,environment-or-permission,"Issue is primarily permissions, read-only filesystem, package manager, or caller script path; no core fix unless reproduction shows false success."
